price,units_sold,rating,rating_count,badges_count,badge_product_quality,product_variation_inventory,shipping_option_price,merchant_rating_count,merchant_rating,merchant_has_profile_picture,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,size_m,size_other,size_s,size_xs,log_units_sold,tag_summer,tag_women's fashion,tag_sexy,tag_tank
16.0,100,3.76,54,0,0,50,4,568,4.128521126760563,0,26.0,8.0,10.0,1.0,9.0,1,0,0,0,4.605170185988092,1,1,0,0
8.0,20000,3.45,6135,0,0,50,2,17752,3.8996732762505633,0,2269.0,1027.0,1118.0,644.0,1077.0,0,0,0,1,9.903487552536127,1,1,1,0
8.0,100,3.57,14,0,0,1,3,295,3.989830508474576,0,5.0,4.0,2.0,0.0,3.0,0,0,0,1,4.605170185988092,1,1,1,0
8.0,5000,4.03,579,0,0,50,2,23832,4.020434709634105,0,295.0,119.0,87.0,42.0,36.0,1,0,0,0,8.517193191416238,1,1,0,0
2.72,100,3.1,20,0,0,1,1,14482,4.001588178428394,0,6.0,4.0,2.0,2.0,6.0,0,0,1,0,4.605170185988092,1,1,0,0
3.92,10,5.0,1,0,0,1,1,65,3.5076923076923077,0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,2.302585092994046,1,1,0,0
7.0,50000,3.84,6742,0,0,50,2,10194,4.076515597410241,1,3172.0,1352.0,971.0,490.0,757.0,0,0,0,1,10.819778284410283,1,1,0,0
12.0,1000,3.76,286,0,0,50,3,342,3.681286549707602,0,120.0,56.0,61.0,18.0,31.0,0,1,0,0,6.907755278982137,1,1,0,0
11.0,100,3.47,15,0,0,50,2,330,3.803030303030303,0,6.0,2.0,3.0,1.0,3.0,1,0,0,0,4.605170185988092,1,1,0,0
5.78,5000,3.6,687,0,0,50,2,5534,3.999819298879653,0,287.0,128.0,92.0,68.0,112.0,0,0,1,0,8.517193191416238,1,1,0,0
5.79,1000,3.46,613,0,0,2,2,9470,3.9568109820485744,0,245.0,101.0,81.0,61.0,125.0,0,1,0,0,6.907755278982137,1,1,0,0
6.0,100,3.31,13,0,0,2,2,3515,3.983783783783784,0,3.0,4.0,3.0,0.0,3.0,0,0,0,1,4.605170185988092,1,1,1,0
1.91,1000,3.45,141,0,0,1,1,557,4.123877917414721,0,49.0,29.0,24.0,14.0,25.0,0,0,0,1,6.907755278982137,1,0,0,0
5.79,1000,3.32,121,0,0,50,2,5083,3.9474719653747785,0,36.0,24.0,23.0,19.0,19.0,0,0,1,0,6.907755278982137,1,1,0,1
2.0,20000,3.65,2457,0,0,1,1,55499,4.138885385322259,0,984.0,481.0,459.0,206.0,327.0,0,0,1,0,9.903487552536127,1,1,0,0
11.0,1000,3.92,426,0,0,50,3,39381,4.0663264010563465,0,204.0,94.0,62.0,21.0,45.0,0,0,1,0,6.907755278982137,1,1,0,0
11.0,10000,3.72,2058,0,0,50,2,6302,3.958425896540781,0,840.0,435.0,386.0,158.0,239.0,0,1,0,0,9.210340371976184,1,1,1,0
5.0,100000,3.83,17980,0,0,50,1,139223,3.933581376640354,0,8290.0,3483.0,2951.0,1410.0,1846.0,0,0,1,0,11.512925464970229,1,0,1,0
9.0,20000,3.82,5479,0,0,50,3,22089,4.081624337905745,0,2456.0,1162.0,853.0,431.0,577.0,0,0,1,0,9.903487552536127,1,1,1,1
7.0,1000,3.67,214,0,0,7,2,3592,4.062360801781737,0,87.0,36.0,49.0,17.0,25.0,0,0,1,0,6.907755278982137,1,1,0,1
11.0,5000,3.84,1183,0,0,50,3,23609,4.256597060443052,0,506.0,274.0,216.0,81.0,106.0,0,0,1,0,8.517193191416238,0,1,1,0
5.0,20000,3.6,3552,0,0,11,2,12913,3.981336637497096,1,1437.0,632.0,610.0,358.0,515.0,0,0,1,0,9.903487552536127,1,1,1,1
11.0,1000,3.38,72,0,0,2,2,4516,4.231842338352524,0,27.0,11.0,11.0,8.0,15.0,0,0,1,0,6.907755278982137,1,1,1,1
7.0,5000,3.67,510,0,0,50,2,96838,4.264658501827795,0,213.0,98.0,85.0,45.0,69.0,1,0,0,0,8.517193191416238,1,1,0,0
5.71,1000,3.75,678,0,0,19,2,80093,4.006692220293909,0,290.0,145.0,104.0,61.0,78.0,0,1,0,0,6.907755278982137,1,0,1,1
